cluster_kmeans_k6,n_events,peak_intensity_log,lead_time_h,lag_time_h,asymmetry_ratio,half_life_h
0,47,1.2132475777920226,2.6307698394557875,0.5394161989188365,1.4079065123610992,-0.10241830668042218
1,206,-0.8022520340965368,-0.4211713276319885,-0.7805637827748525,-0.2923372094842193,-0.5650623508589933
2,88,-0.26494370986102556,-0.29293005800045374,0.7471321559184626,-0.2303073364709885,0.9345737886912296
3,19,0.8341666281932331,0.7042257421538926,3.2200056519462863,-0.04456260687369152,3.3243276332284872
4,130,0.9308704200868648,-0.2818192759352114,0.10959912219918327,-0.19045787788461427,-0.14909349868726285
5,5,-1.061198242306433,2.4298345824922443,-1.1464090182527489,7.984623667564903,-0.9612117831786076
